"package","firstDownload","lastDownload","totalDownloads"
"l0ara","2016-08-05","2017-01-25",723
"L1pack","2015-04-13","2017-01-25",4957
"l2boost","2013-06-05","2017-01-25",8310
"labdsv","2016-01-24","2017-01-25",16823
"label.switching","2016-05-22","2017-01-25",1704
"labeledLoop","2012-10-10","2017-01-25",8617
"labeling","2014-08-23","2017-01-25",3307324
"labelled","2016-11-20","2017-01-25",1418
"labelrank","2015-11-22","2017-01-25",2299
"labeltodendro","2013-01-28","2017-01-25",9545
"LabourMarketAreas","2016-10-04","2017-01-25",667
"labstatR","2015-08-19","2017-01-25",5247
"labstats","2016-12-05","2017-01-25",572
"laeken","2014-08-19","2017-01-25",47185
"laercio","2012-10-10","2017-01-25",13186
"LaF","2017-01-02","2017-01-25",2919
"laGP","2017-01-09","2017-01-25",348
"Lahman","2016-08-27","2017-01-25",46379
"LakeMetabolizer","2016-06-23","2017-01-25",1790
"lakemorpho","2016-12-27","2017-01-25",305
"laketemps","2015-02-28","2017-01-25",4411
"lambda.r","2016-07-10","2017-01-25",135949
"lambda.tools","2016-05-11","2017-01-25",3439
"Lambda4","2013-07-30","2017-01-25",11806
"LambertW","2016-03-29","2017-01-25",3796
"lamW","2016-10-27","2017-01-25",1479
"LANDD","2016-10-01","2017-01-25",796
"landest","2015-11-16","2017-01-25",2367
"landpred","2014-10-18","2017-01-25",5191
"landsat","2012-10-29","2017-01-25",20165
"landsat8",NA,"2017-01-25",0
"landscapeR","2016-12-13","2017-01-25",316
"Langevin","2016-08-29","2017-01-25",910
"languagelayeR","2016-12-20","2017-01-25",297
"languageR","2013-12-12","2017-01-25",38269
"LaplaceDeconv","2016-01-27","2017-01-25",2240
"LaplacesDemon","2016-07-17","2017-01-25",4867
"lar","2014-04-30","2017-01-25",6890
"LARF","2016-07-26","2017-01-25",2229
"largeList","2016-11-05","2017-01-25",477
"largeVis","2016-11-27","2017-01-25",1426
"lars","2013-04-24","2017-01-25",164194
"laser","2013-09-04","2017-01-25",16662
"lasso2","2014-05-31","2017-01-25",32142
"LassoBacktracking","2016-04-14","2017-01-25",1361
"lassopv","2017-01-21","2017-01-25",454
"lassoscore","2014-10-28","2017-01-25",5925
"lassoshooting","2012-10-06","2017-01-25",11928
"lasvmR","2015-08-27","2017-01-25",2996
"latdiag","2016-10-20","2017-01-25",1035
"latentnet","2015-06-20","2017-01-25",18860
"LatentREGpp","2016-11-28","2017-01-25",343
"Laterality","2015-04-01","2017-01-25",4796
"latex2exp","2015-11-30","2017-01-25",14942
"lattice","2016-09-06","2017-01-25",358446
"latticeDensity","2012-10-06","2017-01-25",17094
"latticeExtra","2016-02-09","2017-01-25",804598
"LatticeKrig","2016-12-20","2017-01-25",321
"lava","2016-12-20","2017-01-25",13018
"lava.tobit","2012-10-06","2017-01-25",23878
"lavaan","2016-09-24","2017-01-25",51450
"lavaan.shiny","2016-06-24","2017-01-25",1462
"lavaan.survey","2016-12-22","2017-01-25",1762
"lawn","2016-10-25","2017-01-25",1400
"lawstat","2017-01-16","2017-01-25",2721
"lazy","2013-09-22","2017-01-25",11092
"lazyData","2016-12-04","2017-01-25",937
"lazyeval","2016-06-13","2017-01-25",1443044
"lazyrmd","2016-10-08","2017-01-25",1446
"lazysql","2016-03-12","2017-01-25",1414
"lazyWeave","2016-01-09","2017-01-25",4123
"lba","2016-12-19","2017-01-25",635
"lbfgs","2014-08-31","2017-01-25",8414
"lbfgsb3","2015-02-18","2017-01-25",5300
"lbiassurv","2013-05-24","2017-01-25",9461
"lbreg","2016-12-20","2017-01-25",163
"LBSPR","2016-12-13","2017-01-25",282
"LCA","2013-10-02","2017-01-25",10603
"LCAextend","2012-10-06","2017-01-25",10515
"lcda","2012-10-06","2017-01-25",10514
"LCFdata","2013-11-28","2017-01-25",13874
"lclGWAS","2016-11-30","2017-01-25",574
"LCMCR","2016-02-12","2017-01-25",1687
"lcmm","2016-12-13","2017-01-25",936
"lcopula","2016-07-06","2017-01-25",2096
"lctools","2016-09-03","2017-01-25",1910
"lda","2015-11-22","2017-01-25",27074
"ldamatch","2016-06-27","2017-01-25",1220
"ldatuning","2016-10-24","2017-01-25",1291
"LDAvis","2015-10-24","2017-01-25",10215
"ldbod","2016-12-22","2017-01-25",484
"ldbounds","2014-01-19","2017-01-25",11368
"LDcorSV","2013-07-05","2017-01-25",10494
"LDheatmap","2016-08-24","2017-01-25",5591
"ldlasso","2013-01-03","2017-01-25",9443
"LDOD","2013-03-09","2017-01-25",9809
"LDPD","2015-05-21","2017-01-25",4309
"ldr","2014-10-29","2017-01-25",6377
"LDRTools","2015-09-25","2017-01-25",3189
"ldstatsHD","2016-08-18","2017-01-25",700
"LDtests","2012-10-10","2017-01-25",10471
"leaderCluster","2014-12-16","2017-01-25",5436
"LeafAngle","2014-12-04","2017-01-25",6121
"LeafArea","2016-08-09","2017-01-25",1099
"leaflet","2016-02-27","2017-01-25",100338
"leafletCN","2017-01-06","2017-01-25",299
"leafletR","2016-04-01","2017-01-25",7993
"LEANR","2016-11-12","2017-01-25",401
"LEAP","2016-09-13","2017-01-25",1245
"LEAPFrOG","2014-08-13","2017-01-25",7465
"leapp","2014-07-22","2017-01-25",6835
"leaps","2017-01-09","2017-01-25",29552
"LearnBayes","2014-05-29","2017-01-25",249103
"learningCurve","2016-08-10","2017-01-25",695
"learningr","2013-11-07","2017-01-25",12047
"learNN","2015-09-29","2017-01-25",2857
"learnstats","2015-06-25","2017-01-25",3619
"lefse","2014-09-12","2017-01-25",5963
"leiv","2015-01-11","2017-01-25",5500
"LeLogicielR","2012-12-15","2017-01-25",10679
"LendingClub","2016-12-11","2017-01-25",972
"lessR","2017-01-02","2017-01-25",4951
"lestat","2013-11-21","2017-01-25",8511
"letsR","2016-06-03","2017-01-25",2056
"lettercase","2016-03-04","2017-01-25",1567
"lexicon","2017-01-20","2017-01-25",256
"LexisPlotR","2016-04-04","2017-01-25",1718
"lexRankr","2016-10-25","2017-01-25",581
"lfactors","2016-12-16","2017-01-25",357
"lfda","2017-01-05","2017-01-25",690
"LFDR.MLE","2015-08-06","2017-01-25",3008
"lfe","2016-04-19","2017-01-25",14844
"lfl","2016-04-22","2017-01-25",1498
"lfstat","2016-08-24","2017-01-25",2271
"lga","2012-10-06","2017-01-25",11820
"lgarch","2015-09-15","2017-01-25",6092
"lgcp","2016-07-18","2017-01-25",1905
"LGEWIS","2015-10-14","2017-01-25",2577
"LGRF","2015-09-13","2017-01-25",2846
"lgtdl","2017-01-16","2017-01-25",919
"lhs","2016-08-09","2017-01-25",12108
"libamtrack","2015-12-12","2017-01-25",2679
"libcoin","2016-12-10","2017-01-25",189
"LiblineaR","2015-02-04","2017-01-25",19127
"LiblineaR.ACF","2016-01-04","2017-01-25",2035
"Libra","2016-02-17","2017-01-25",2109
"LICORS","2013-11-26","2017-01-25",9781
"LICurvature","2013-06-27","2017-01-25",8624
"lidR","2016-12-31","2017-01-25",222
"lifecontingencies","2016-07-07","2017-01-25",3411
"lifecourse","2016-09-13","2017-01-25",712
"LifeHist","2015-09-03","2017-01-25",2957
"LifeTables","2015-08-19","2017-01-25",4047
"lift","2015-10-13","2017-01-25",3938
"liftLRD","2016-09-07","2017-01-25",598
"liftr","2016-08-05","2017-01-25",1768
"LightningR","2015-12-14","2017-01-25",2340
"lightsout","2016-07-26","2017-01-25",994
"LIHNPSD","2012-10-06","2017-01-25",10653
"likelihood","2015-02-24","2017-01-25",7161
"likelihoodAsy","2016-11-02","2017-01-25",654
"likeLTD","2016-10-24","2017-01-25",807
"likert","2016-12-31","2017-01-25",2685
"LIM","2014-12-26","2017-01-25",9054
"limitplot","2012-10-10","2017-01-25",9308
"limSolve","2017-01-17","2017-01-25",2003
"linbin","2015-11-17","2017-01-25",2491
"LinCal","2014-11-08","2017-01-25",5280
"LindenmayeR","2015-07-16","2017-01-25",3671
"LindleyR","2016-06-23","2017-01-25",1006
"linear.tools","2016-07-06","2017-01-25",1049
"LinearizedSVR","2014-08-01","2017-01-25",7535
"LinearRegressionMDE","2015-09-14","2017-01-25",2911
"linERR","2016-02-23","2017-01-25",1516
"lineup","2015-07-29","2017-01-25",3447
"lingtypology","2016-12-29","2017-01-25",292
"link2GI","2017-01-22","2017-01-25",242
"linkcomm","2014-08-13","2017-01-25",9861
"LinkedMatrix","2016-09-01","2017-01-25",885
"linkim","2014-01-15","2017-01-25",6859
"linkR","2016-10-01","2017-01-25",801
"linLIR","2012-11-14","2017-01-25",8436
"linprog","2012-10-17","2017-01-25",37476
"LinRegInteractive","2015-04-23","2017-01-25",7782
"LINselect","2015-08-26","2017-01-25",3391
"lintools","2016-03-04","2017-01-25",1547
"lintr","2016-04-16","2017-01-25",72666
"liqueueR","2016-08-23","2017-01-25",665
"lira","2016-03-21","2017-01-25",1481
"liso","2012-10-06","2017-01-25",9342
"lisp","2012-10-10","2017-01-25",11310
"lisrelToR","2013-05-08","2017-01-25",49005
"list","2016-12-30","2017-01-25",390
"listdtr","2016-11-29","2017-01-25",580
"listenv","2015-12-28","2017-01-25",16624
"LIStest","2014-03-12","2017-01-25",8333
"listless","2016-08-12","2017-01-25",702
"listviewer","2016-11-03","2017-01-25",6240
"listWithDefaults","2017-01-06","2017-01-25",184
"littler","2016-08-07","2017-01-25",5513
"livechatR","2016-02-25","2017-01-25",1879
"ljr","2016-05-01","2017-01-25",1188
"llama","2015-12-05","2017-01-25",3448
"lle","2012-10-06","2017-01-25",10724
"lllcrc","2014-10-06","2017-01-25",5938
"LLSR","2016-02-17","2017-01-25",2085
"lm.beta","2014-12-28","2017-01-25",13423
"lm.br","2016-01-29","2017-01-25",2277
"lme4","2016-04-16","2017-01-25",906204
"lmec","2012-11-01","2017-01-25",11323
"lmem.gwaser","2016-05-07","2017-01-25",1154
"lmem.qtler","2016-07-13","2017-01-25",951
"lmeNB","2015-02-02","2017-01-25",5169
"lmeNBBayes","2015-02-21","2017-01-25",4992
"lmenssp","2016-07-25","2017-01-25",1060
"LMERConvenienceFunctions","2015-01-31","2017-01-25",14609
"lmeresampler","2016-07-15","2017-01-25",903
"lmerTest","2016-12-03","2017-01-25",16487
"lmeSplines","2013-08-04","2017-01-25",12588
"LMest","2016-08-23","2017-01-25",1408
"lmeVarComp","2014-08-28","2017-01-25",5849
"lmf","2013-10-31","2017-01-25",8357
"lmfor","2017-01-05","2017-01-25",255
"lmm","2015-02-10","2017-01-25",8942
"lmmlasso","2012-10-06","2017-01-25",9856
"lmmot","2015-10-28","2017-01-25",2681
"lmms","2016-03-07","2017-01-25",1803
"lmodel2","2014-02-24","2017-01-25",29189
"lmom","2015-02-02","2017-01-25",16371
"lmomco","2016-09-11","2017-01-25",3932
"Lmoments","2016-02-22","2017-01-25",13726
"lmomRFA","2015-02-02","2017-01-25",10742
"lmPerm","2016-08-02","2017-01-25",3026
"lmridge","2016-11-22","2017-01-25",523
"lmSupport","2017-01-17","2017-01-25",384
"lmtest","2015-06-06","2017-01-25",1061331
"LncMod","2015-06-27","2017-01-25",3293
"LncPath","2016-05-16","2017-01-25",1049
"LncPriCNet","2016-06-03","2017-01-25",939
"LNIRT","2016-10-06","2017-01-25",542
"loa","2016-03-01","2017-01-25",4094
"localdepth","2013-11-07","2017-01-25",8564
"localgauss","2016-11-14","2017-01-25",751
"localsolver","2014-06-18","2017-01-25",6915
"locfdr","2015-07-15","2017-01-25",5294
"LocFDRPois","2015-05-05","2017-01-25",3698
"locfit","2013-04-20","2017-01-25",354718
"locits","2016-11-14","2017-01-25",1103
"Lock5Data","2012-12-23","2017-01-25",28852
"Lock5withR","2015-12-22","2017-01-25",3652
"locpol","2012-10-29","2017-01-25",23606
"lodGWAS","2015-11-30","2017-01-25",2385
"loe","2016-02-09","2017-01-25",1662
"log4r","2014-09-29","2017-01-25",12755
"logbin","2016-07-19","2017-01-25",1169
"LogConcDEAD","2014-07-02","2017-01-25",10110
"logconcens","2013-12-13","2017-01-25",8787
"logcondens","2016-07-14","2017-01-25",9465
"logcondens.mode","2013-09-12","2017-01-25",8706
"logcondiscr","2015-07-03","2017-01-25",3749
"logconPH","2014-12-14","2017-01-25",4968
"logging","2013-04-13","2017-01-25",28337
"LogicForest","2014-09-19","2017-01-25",9314
"LOGICOIL","2014-04-14","2017-01-25",7028
"LogicOpt","2016-05-07","2017-01-25",1020
"LogicReg","2016-08-30","2017-01-25",6410
"logistf","2016-12-19","2017-01-25",2884
"LogisticDx","2015-07-08","2017-01-25",5836
"logisticPCA","2016-03-14","2017-01-25",1937
"LOGIT","2016-02-06","2017-01-25",3149
"logitchoice","2014-09-03","2017-01-25",5704
"LogitNet","2012-10-10","2017-01-25",10042
"logitnorm","2016-11-10","2017-01-25",1101
"loglognorm","2013-06-28","2017-01-25",11339
"logmult","2016-01-15","2017-01-25",2914
"LogrankA","2013-07-17","2017-01-25",9514
"logspline","2016-02-04","2017-01-25",24894
"lokern","2016-10-11","2017-01-25",8186
"lomb","2013-10-21","2017-01-25",11631
"longCatEDA","2017-01-21","2017-01-25",635
"longclust","2015-03-31","2017-01-25",5323
"longitudinal","2015-07-08","2017-01-25",13399
"longitudinalData","2016-02-16","2017-01-25",11059
"longmemo","2012-10-06","2017-01-25",19718
"longpower","2016-07-25","2017-01-25",1959
"longurl","2016-12-18","2017-01-25",994
"loo","2016-12-16","2017-01-25",6417
"lookupTable","2015-08-28","2017-01-25",2920
"loop","2012-10-06","2017-01-25",9305
"LoopAnalyst","2015-07-08","2017-01-25",4491
"loopr","2015-05-28","2017-01-25",3487
"lordif","2016-03-03","2017-01-25",3743
"lorec","2014-02-20","2017-01-25",7274
"LOST","2016-06-23","2017-01-25",1365
"LotkasLaw","2015-08-17","2017-01-25",2926
"lowmemtkmeans","2017-01-08","2017-01-25",668
"LowRankQP","2014-07-28","2017-01-25",13125
"lpbrim","2015-07-19","2017-01-25",3082
"lpc","2013-12-15","2017-01-25",9400
"LPCM","2015-09-22","2017-01-25",4065
"lpint","2014-04-02","2017-01-25",6729
"lplyr","2017-01-25","2017-01-25",185
"LPM","2015-11-05","2017-01-25",2706
"lpme","2014-12-19","2017-01-25",5027
"LPmerge","2014-08-17","2017-01-25",7259
"lpmodeler","2014-02-21","2017-01-25",6814
"LPR","2016-01-11","2017-01-25",2005
"lpridge","2013-04-17","2017-01-25",11508
"LPS","2015-02-16","2017-01-25",5078
"lpSolve","2015-09-19","2017-01-25",162657
"lpSolveAPI","2016-01-13","2017-01-25",27241
"LPStimeSeries","2015-03-27","2017-01-25",7005
"LPTime","2015-03-04","2017-01-25",4667
"lqa","2012-11-01","2017-01-25",32148
"lqmm","2016-02-04","2017-01-25",4347
"lqr","2016-05-19","2017-01-25",1444
"LRcontrast","2015-11-07","2017-01-25",2353
"lrequire","2016-02-22","2017-01-25",1441
"lrgs","2016-07-30","2017-01-25",921
"lrmest","2016-05-14","2017-01-25",1406
"LRTH","2016-03-01","2017-01-25",1506
"LS2W","2013-07-12","2017-01-25",9934
"LS2Wstat","2014-06-24","2017-01-25",6829
"lsa","2015-05-08","2017-01-25",28365
"LSAfun","2016-11-28","2017-01-25",1112
"LSAmitR","2016-11-16","2017-01-25",786
"lsbclust","2016-01-05","2017-01-25",2086
"LSC","2014-01-24","2017-01-25",7999
"LSD","2015-01-09","2017-01-25",13326
"LSDinterface","2017-01-20","2017-01-25",949
"lsdv","2014-03-24","2017-01-25",6727
"lsei","2015-10-07","2017-01-25",3641
"lsgl","2016-12-29","2017-01-25",1200
"lshorth","2013-06-10","2017-01-25",7579
"lsl","2016-07-27","2017-01-25",968
"lsmeans","2016-11-19","2017-01-25",25962
"LSMonteCarlo","2013-09-25","2017-01-25",12406
"LSPFP","2016-05-19","2017-01-25",1071
"lspls","2012-10-06","2017-01-25",11024
"lsr","2015-03-02","2017-01-25",45586
"lss","2012-11-01","2017-01-25",11532
"LSTS","2015-10-01","2017-01-25",4087
"ltbayes","2016-10-29","2017-01-25",607
"ltm","2013-12-20","2017-01-25",59939
"ltmle","2016-11-17","2017-01-25",1220
"LTPDvar","2015-06-11","2017-01-25",3980
"LTR","2012-11-01","2017-01-25",9362
"LTRCtrees","2016-09-03","2017-01-25",989
"ltsa","2015-12-21","2017-01-25",12354
"ltsbase","2013-08-02","2017-01-25",8121
"ltsk","2015-09-11","2017-01-25",3216
"ltxsparklines","2017-01-06","2017-01-25",383
"lubridate","2016-09-13","2017-01-25",363843
"luca","2012-10-06","2017-01-25",11279
"lucid","2016-10-25","2017-01-25",887
"lucr","2016-10-17","2017-01-25",1069
"ludic","2016-12-29","2017-01-25",366
"lulcc","2015-08-19","2017-01-25",3056
"lumendb","2017-01-22","2017-01-25",274
"Luminescence","2016-09-10","2017-01-25",1887
"lunar","2014-09-08","2017-01-25",5912
"luzlogr","2016-02-25","2017-01-25",1835
"lvm4net","2015-04-11","2017-01-25",4080
"LVMMCOR","2013-06-08","2017-01-25",8639
"lvnet","2016-11-25","2017-01-25",821
"lvplot","2016-05-01","2017-01-25",1617
"LW1949","2015-12-03","2017-01-25",2001
"lxb","2016-03-02","2017-01-25",1734
"lymphclon","2014-11-11","2017-01-25",5727
